MATCH_ID,P1NAME,P1RANK,P1CHAMPION,P1CHAMPIONID,P1SPELL1,P1SPELL2,P1SUMMONERLEVEL,P2NAME,P2RANK,P2CHAMPION,P2CHAMPIONID,P2SPELL1,P2SPELL2,P2SUMMONERLEVEL,P3NAME,P3RANK,P3CHAMPION,P3CHAMPIONID,P3SPELL1,P3SPELL2,P3SUMMONERLEVEL,P4NAME,P4RANK,P4CHAMPION,P4CHAMPIONID,P4SPELL1,P4SPELL2,P4SUMMONERLEVEL,P5NAME,P5RANK,P5CHAMPION,P5CHAMPIONID,P5SPELL1,P5SPELL2,P5SUMMONERLEVEL,P6NAME,P6RANK,P6CHAMPION,P6CHAMPIONID,P6SPELL1,P6SPELL2,P6SUMMONERLEVEL,P7NAME,P7RANK,P7CHAMPION,P7CHAMPIONID,P7SPELL1,P7SPELL2,P7SUMMONERLEVEL,P8NAME,P8RANK,P8CHAMPION,P8CHAMPIONID,P8SPELL1,P8SPELL2,P8SUMMONERLEVEL,P9NAME,P9RANK,P9CHAMPION,P9CHAMPIONID,P9SPELL1,P9SPELL2,P9SUMMONERLEVEL,P10NAME,P10RANK,P10CHAMPION,P10CHAMPIONID,P10SPELL1,P10SPELL2,P10SUMMONERLEVEL,WIN
NA1_4266309797,b'Nitrz',placehold,Zilean,26,13,4,311,b'TempestMist',placehold,Bard,432,14,4,253,b'JimboDelta',placehold,MasterYi,11,32,4,73,b'OverItsFrieza',placehold,Sejuani,113,4,7,84,b'Bonesetter',placehold,Karma,43,4,3,83,b'CROQUETTE BBQ',placehold,Lillia,876,7,4,130,b'Anidenchi',placehold,Udyr,77,4,32,230,b'MmeCatastrophe',placehold,Senna,235,7,4,103,b'HelpMe IamNoob',placehold,Brand,63,21,4,166,b'filbri3',placehold,Lux,99,4,21,178,1
NA1_4266202943,b'oquinn do',placehold,Chogath,31,4,12,70,b'godsflipoff',placehold,Skarner,72,4,11,264,b'luccello',placehold,Ahri,103,4,14,480,b'MrCaveman',placehold,Jhin,202,7,4,302,b'gabbyZup',placehold,Lux,99,4,14,320,b'Trigno Kon',placehold,Garen,86,4,12,244,b'6sick6',placehold,Udyr,77,11,4,192,b'lordachilles95',placehold,Akshan,166,4,14,153,b'Uesugi Sann',placehold,Samira,360,7,4,64,b'ForeverSilver',placehold,Sylas,517,4,14,436,1
NA1_4261204138,b'Foxi Momma',placehold,Nasus,75,12,4,84,b'KrAshOver1de',placehold,Vi,254,11,4,111,b'Ebola Summoner',placehold,DrMundo,36,14,4,144,b'dsunjp',placehold,Zeri,221,7,4,231,b'Nami Rs Japan',placehold,Karma,43,4,3,381,b'd\xc2\xaaddy loves c\xc2\xaake',placehold,Gangplank,41,14,4,228,b'Elindiel',placehold,Amumu,32,4,11,52,b'KilljoyP',placehold,Lucian,236,14,4,43,b'Is Maidenless',placehold,Varus,110,7,4,359,b'Arkmothe',placehold,Seraphine,147,4,3,105,0
NA1_4266519302,b'StarliteWarrior',placehold,Janna,40,4,7,323,b'NO DAMAGE DONE',placehold,KogMaw,96,4,32,336,b'Flopson',placehold,DrMundo,36,32,4,136,b'aram75',placehold,Nautilus,111,32,4,169,b'emkay88',placehold,Kaisa,145,13,4,147,b'NinjaKnight67',placehold,Brand,63,4,14,290,b'Eddy Nespoli',placehold,Jayce,126,4,32,92,b'DlNGO',placehold,XinZhao,5,7,4,368,b'ForgetYouFool',placehold,Darius,122,6,4,89,b'DayDayUp518',placehold,Jhin,202,4,21,136,0
NA1_4258518395,b'Qwarkeyy',placehold,Fiora,114,14,4,60,b'Smeefz',placehold,Vi,254,4,11,99,b'zsxuwzpb',placehold,Sylas,517,14,4,64,b'Samuroid',placehold,Vayne,67,7,4,182,b'CptCupCakez',placehold,Pyke,555,4,14,247,b'Dare 47',placehold,Sett,875,14,4,82,b'Guttie',placehold,Volibear,106,4,11,112,b'BorisBlyat',placehold,Ekko,245,4,12,580,b'Fioutinhirea',placehold,Ashe,22,4,7,36,b'DoubleDinks',placehold,Senna,235,4,3,113,0
NA1_4260919900,b'iSullivan1685',placehold,Singed,27,14,6,95,b'HoneyNutrageous',placehold,Warwick,19,4,11,56,b'The Best Supp NA',placehold,Ahri,103,4,14,38,b'trueadude',placehold,Jhin,202,7,4,152,b'the masterbaytor',placehold,Brand,63,3,4,57,b'2Old4Gold',placehold,Swain,50,14,4,101,b'Torlant',placehold,LeeSin,64,11,4,126,b'KatarinasEvolved',placehold,Katarina,55,14,4,309,b'Without Rest',placehold,Tristana,18,4,21,50,b'ASleepyFox',placehold,Irelia,39,4,12,125,1
NA1_4266403835,b'DaveZaye',placehold,Gnar,150,4,12,62,b'thhojfmih',placehold,MasterYi,11,4,11,36,b'LEAGUEinUS',placehold,Zed,238,14,4,82,b'Stryder414',placehold,KogMaw,96,4,7,251,b'Kovache',placehold,Pyke,555,4,14,210,b'Wasted Windwall',placehold,Mordekaiser,82,4,12,272,b'Snaznar The Cool',placehold,Kayn,141,4,11,123,b'SmaccSmiller',placehold,Taliyah,163,14,4,191,b'gse53',placehold,Jinx,222,7,4,145,b'KaynIsAnime',placehold,Janna,40,14,4,326,1
NA1_4266366150,b'Great Ocean',placehold,Malphite,54,12,4,261,b'PIPILONG',placehold,Graves,104,11,4,258,b'LUCKY AOBO',placehold,Kaisa,145,4,7,196,b'Schw\xc3\xa4rmerei',placehold,Nautilus,111,4,14,188,b'Adem sevin\xc3\xa7',placehold,Lucian,236,14,4,35,b'The B0Y Savior',placehold,Nocturne,56,4,11,98,b'Project Tile',placehold,Nami,267,4,7,199,b'ryonoon',placehold,Twitch,29,4,3,255,b'KernonQ',placehold,Taliyah,163,4,14,296,b'woody got wood',placehold,Mordekaiser,82,12,4,240,1
NA1_4259226920,b'Elperuanito',placehold,Brand,63,4,21,329,b'AnotherOldMan',placehold,Galio,3,4,32,204,b'plz love me',placehold,Zoe,142,7,4,120,b'WhiteBreadKR',placehold,Nautilus,111,32,4,51,b'The Last Lesson',placehold,Maokai,57,32,4,48,b'ToSeRiOuS4U',placehold,Nami,267,4,13,185,b'Suhupu',placehold,Graves,104,32,4,215,b'Kasami Fuu',placehold,Ornn,516,4,32,81,b'Febreezey',placehold,Morgana,25,21,4,281,b'Eryxias Fang',placehold,Zyra,143,4,32,219,0
NA1_4266238047,b'FloofyOtter',placehold,Nasus,75,6,12,78,b'iNEEDELO',placehold,Warwick,19,4,11,116,b'Enderson1',placehold,Azir,268,14,4,263,b'S\xc3\xb8nas Feet',placehold,Samira,360,7,4,374,b'kikiyuh',placehold,Lux,99,14,4,168,b'Rabb1t Tank',placehold,Gnar,150,4,12,285,b'S1apNutz',placehold,Volibear,106,11,4,205,b'mid gapper',placehold,Vex,711,4,14,266,b'toi fish',placehold,Kaisa,145,7,4,278,b'Wolvee',placehold,Soraka,16,3,4,300,1
